pathway	systematicName
BIOCARTA_41BB_PATHWAY	M2064
BIOCARTA_ACE2_PATHWAY	M12950
BIOCARTA_ACETAMINOPHEN_PATHWAY	M22024
BIOCARTA_ACH_PATHWAY	M16884
BIOCARTA_ACTINY_PATHWAY	M7825
BIOCARTA_AGPCR_PATHWAY	M19829
BIOCARTA_AGR_PATHWAY	M6220
BIOCARTA_AHSP_PATHWAY	M19553
BIOCARTA_AKAP13_PATHWAY	M17668
BIOCARTA_AKAP95_PATHWAY	M5731
BIOCARTA_AKAPCENTROSOME_PATHWAY	M15347
BIOCARTA_AKT_PATHWAY	M15258
BIOCARTA_ALK_PATHWAY	M17400
BIOCARTA_ALTERNATIVE_PATHWAY	M22072
BIOCARTA_AMAN_PATHWAY	M22009
BIOCARTA_AMI_PATHWAY	M15394
BIOCARTA_ARAP_PATHWAY	M2482
BIOCARTA_ARENRF2_PATHWAY	M14339
BIOCARTA_ARF_PATHWAY	M11358
BIOCARTA_ASBCELL_PATHWAY	M7298
BIOCARTA_AT1R_PATHWAY	M14899
BIOCARTA_ATM_PATHWAY	M10628
BIOCARTA_ATRBRCA_PATHWAY	M9703
BIOCARTA_BAD_PATHWAY	M85
BIOCARTA_BARD1_PATHWAY	M22050
BIOCARTA_BARR_MAPK_PATHWAY	M668
BIOCARTA_BARRESTIN_PATHWAY	M7772
BIOCARTA_BARRESTIN_SRC_PATHWAY	M111
BIOCARTA_BBCELL_PATHWAY	M22030
BIOCARTA_BCELLSURVIVAL_PATHWAY	M4835
BIOCARTA_BCR_PATHWAY	M9494
BIOCARTA_BIOPEPTIDES_PATHWAY	M13494
BIOCARTA_BLYMPHOCYTE_PATHWAY	M1473
BIOCARTA_BOTULIN_PATHWAY	M22086
BIOCARTA_BTG2_PATHWAY	M22014
BIOCARTA_CACAM_PATHWAY	M3412
BIOCARTA_CALCINEURIN_PATHWAY	M3430
BIOCARTA_CARDIACEGF_PATHWAY	M7552
BIOCARTA_CARM1_PATHWAY	M7968
BIOCARTA_CARM_ER_PATHWAY	M2499
BIOCARTA_CASPASE_PATHWAY	M17902
